31, ဢိုမ် - တူဝ်ၽႅတ်းသဵင်လင်, "ၵမ်ၸိုမ်းမီးတီႈၼႆႈ ယႃႇပေဝႆႉၸႂ်တိုမ် ၵႂၢမ်းႁဝ်းယႃႇပေလိုမ်း ႁႂ်ႈၵိုမ်းဝႆႉတေႃႇၸူဝ်ႈ ဢဝ်ၼၢမ်ၶိုမ်းႁူဝ်ႉဝႆႉ"
32, ဢိူမ် - တူဝ်ၽႅတ်းသဵင်လင်, "ငူးလိူမ်တူဝ်ယႂ်ႇၼႃႇ လႆႇတႃလိူမ်ႈလိူမ်ႈသေ ႁိူဝ်ႇပေႃးၶႆႈၸိူမ်ႈယဝ်ႉ ၶၢႆႉတူၼ်ႈမႆႉဝႆႉလႄႈ ၼိူဝ်ႉမူၸေႃးပိူမ်ႉၼႃႇ"
33, ဢၼ် - တူဝ်ၽႅတ်းသဵင်လင်, "ၸၢႆးၸၼ်ၽၼ်းမႆႉယူႇ မၼ်းလၼ်းၵၼ်းတႄႉတႄႉ ၵႃႈၶၼ်မၼ်းယႂ်ႇၼႃႇ ႁၼ်မၼ်းပၼ်ဢၼ်ၼၼ်ႉ ဝၼ်းၼႆႉဢမ်ႇပႆႇတၼ်း"
34, ဢၢၼ် - တူဝ်ၽႅတ်းသဵင်လင်, "ႁၢၼ်ႇၶေႃးယၢဝ်းတူဝ်ၼိုင်ႈ မီးယူႇတီႈတႂ်ႈၸၢၼ်း ႁၢၼ်ႇၼႆႉၶီႈယၢၼ်ႈၼႃႇ ၶဝ်ဢမ်ႇယူႇယၢၼ်ၵၼ် ၵိူဝ်ဝၢၼ်မီးၼႂ်းဝၢၼ်ႇ"
35, ဢိၼ် - တူဝ်ၽႅတ်းသဵင်လင်, "မေႃႈလိၼ်ၼႆႉၶႅမ်ႉၼႃႇ ဢမ်ႇလီၵိၼ်ယႃႈၽိၼ်ႇ တိၼ်ပေႃးသၼ်ႇတိၼ်းတိၼ်း ၵႃႈတီႈႁိမ်းၼမ်ႉလိၼ်း ႁဝ်းလီၵမ်သိၼ်ဢိူဝ်ႈ"
36, ဢဵၼ် - တူဝ်ၽႅတ်းသဵင်လင်, "တႆႈၾႆးတဵၼ်းဝႆႉတႃႉ ယႃႇပေလဵၼ်ႈၾႆးလႄႈ ၵူဝ်ပဵၼ်ၶဵၼ်တီႈသူ ဢဝ်ၵဵၼ်ၶူဝ်းႁဝ်းမႃး ယူႇယဵၼ်ယဵၼ်ပႂ်ႉထႃႈ"
37, ဢႅၼ် - တူဝ်ၽႅတ်းသဵင်လင်, "ၶဝ်လႅၼ်ႈဝႅၼ်ၶႅၼ်ႇၼႃႇ သိုဝ်ႉၶဝ်ႈတႅၼ်ပၼ်လႄႈ ၵမ်ဝႆႉႁႂ်ႈၵႅၼ်ႇၵႅၼ်ႇ မႅၼ်ႈၸႂ်ႁဝ်းတႄႉတႄႉ ႁႅၼ်တူၺ်းတီႈၼႆႈလူး"
38, ဢုၼ် - တူဝ်ၽႅတ်းသဵင်လင်, "လူႇၶဝ်ႈမုၼ်းၸဝ်ႈမုၼ် ၵႃႈတီႈၽၢႆႇပုၼ်ႉၵုၼ် ၶုၼ်ၶဝ်ၵေႃႈလူႇဢိူဝ်ႈ သိူဝ်ႈၼႃဢုၼ်ႇလီၼႃႇ ႁႃပုၼ်ႈၽႂ်ႇပုၼ်ႈမၼ်း"
39, ဢူၼ် - တူဝ်ၽႅတ်းသဵင်လင်, "ၽႅၼ်ႇၵူၼ်ၼႆႉၶူၼ်ၼႃႇ တူၼ်ႈၼိဝ်ႉမီးၼႂ်းသူၼ် ၶၢဝ်းၾူၼ်ထႆသူၼ်တႃႉ မူၼ်ႈသိူဝ်းၸႂ်တႄႉတႄႉ မၼ်းဢမ်ႇႁိူဝ်ႉဢမ်ႇဢူၼ်ႈ"
40, ဢွၼ် - တူဝ်ၽႅတ်းသဵင်လင်, "ၵွၼ်ႇတူဝ်ၼိုင်ႈၼွၼ်းယူႇ ဢွၼ်ၵၼ်မႃးတူၺ်းလူ ၶူၼ်မၼ်းၶွၼ်ႇၶွၼ်ႇဝႆႉ ယႃႇပေလႃႈလီႈထွၼ် သွၼ်ပၼ်ႁႂ်ႈမေႃတႃႉ"
41, ဢိုၼ် - တူဝ်ၽႅတ်းသဵင်လင်, "မေႃႇငိုၼ်းမီးၼမ်ႉတူႈ လီႁူႉပိုၼ်းၶိူဝ်းႁဝ်း မိူဝ်းၼႃႈတေယိုၼ်းယၢဝ်း ယႃႇပေၶိုၼ်းၶိုၼ်ၼႃႈ ၵူဝ်ဝႃႈပဵၼ်ၵူၼ်းတိုၼ်ႈ"
42, ဢိူၼ် - တူဝ်ၽႅတ်းသဵင်လင်, "ယိူၼ်ႉၸႂ်ပႂ်ႉတီႈႁိူၼ်း ၵႂႃႇၽၼ်းမႆႉၼႂ်းထိူၼ်ႇ ယႃႇမိူၼ်ႇၼႂ်းၵႄႈပိူၼ်ႈ ၶၢဝ်းမိူဝ်ႈလိူၼ်ႁႃႈၼႆႉ ဢဝ်ၽိူၼ်မႃးၶၢႆတႃႉ"
43, ဢင် - တူဝ်ၽႅတ်းသဵင်လင်, "မႃးၼင်ႈၼိူဝ်တင်ႇလႄႈ ၵင်ႈၽႃႈၵင်ႈဝႆႉတႃႉ ႁဝ်းတေပၵ်းသင်ႉထူဝ်ႇ သူၶႂ်ႈသင်ႇဢီႈသင်? ၸိုဝ်ႈလိုဝ်းလင်တႄႉတႄႉ"
